time,a1,a2,a3,a4,a5,a6,a7,a8
0,4,1,7,4,5,7,3,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
4,4,1,7,2,5,2,7,6
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,2,5,2,7,6
1,4,2,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,5,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,5,0,3,1
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
0,4,2,7,6,5,6,2,0
4,4,1,7,2,5,2,3,6
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,2,0
4,4,1,7,4,5,0,3,1
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,7,2,0
1,4,4,7,6,5,6,2,0
4,4,1,7,2,5,0,3,6
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,3,0
1,4,4,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,7,3,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,1
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
4,4,1,7,4,5,0,3,1
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,5,0,3,1
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,2,5,2,7,6
0,4,1,7,4,5,9,2,0
4,4,1,7,2,5,0,3,6
1,4,4,7,6,5,5,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,7,3,0
4,4,1,7,4,5,0,3,1
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
4,4,1,7,2,5,0,3,6
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,5,2,0
4,4,1,7,2,5,2,3,6
1,4,2,7,7,5,5,0,0
0,4,2,7,6,5,6,2,0
1,4,2,7,6,5,5,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,2,0
1,4,2,7,7,5,5,2,0
4,4,1,7,2,5,0,3,6
4,4,1,7,4,5,0,3,1
4,4,1,7,2,5,7,3,6
0,4,1,7,6,5,9,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,7,2,0
4,4,1,7,4,5,0,3,1
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
1,5,2,7,7,5,5,0,0
0,4,1,7,5,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
1,4,2,7,7,5,5,2,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,5,0,3,1
0,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
4,4,1,7,4,5,0,3,1
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,9,2,0
0,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,1,0
0,4,1,7,4,5,7,3,0
4,4,1,7,2,5,2,3,6
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,5,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,6,2,0
0,4,2,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,2,0
1,4,2,7,7,5,5,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,6,2,0
4,4,1,7,2,5,0,3,6
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,2,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,5,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
4,4,1,7,2,5,0,3,1
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,9,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,7,3,0
0,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,4,5,0,3,1
1,4,2,7,7,5,5,2,0
0,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,5,2,0
4,4,1,7,2,5,0,3,1
4,4,1,7,2,5,2,7,6
0,4,1,7,4,5,9,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,0,3,1
4,4,1,7,2,5,0,3,6
1,4,2,7,7,5,5,0,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,9,2,0
4,4,1,7,2,5,2,7,6
4,4,1,7,4,5,0,3,1
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
4,4,1,7,2,5,0,3,6
4,4,1,7,2,3,2,7,6
1,4,2,7,7,5,5,2,0
4,4,1,7,2,3,2,7,6
1,4,2,7,6,5,5,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,2,0
0,4,1,7,4,5,7,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
4,4,1,7,2,3,2,7,6
0,4,1,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
0,4,2,7,6,5,6,2,0
1,4,4,7,6,5,5,2,0
1,4,2,7,6,5,6,2,0
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,5,2,0
1,4,4,7,6,5,5,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,2,0
0,4,1,7,4,5,9,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,2,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,9,2,0
4,4,1,7,2,5,2,3,6
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,3,0
4,4,1,7,2,3,2,7,6
1,4,2,7,7,5,5,2,0
0,4,1,7,4,5,7,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
0,4,2,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,9,2,0
4,4,1,7,2,5,2,7,6
0,4,1,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
0,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
4,4,1,7,2,5,0,3,6
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,5,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,6,2,0
0,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
4,4,1,7,2,3,2,7,6
0,4,1,7,4,5,7,2,0
0,4,1,7,4,5,7,2,0
0,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,7,3,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,1
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,3,2,7,6
1,4,2,7,6,5,6,2,0
4,4,1,7,2,5,2,7,6
0,4,1,7,4,5,9,2,0
1,4,2,7,7,5,5,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,7,3,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,3,2,7,6
0,4,1,7,4,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,6,2,0
1,4,2,7,7,5,5,1,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,5,2,0
4,4,1,7,2,5,0,3,6
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,3,0
4,4,1,7,2,5,0,3,1
0,4,1,7,4,5,7,3,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
4,4,1,7,2,5,2,7,6
0,4,1,7,4,5,7,2,0
0,4,1,7,4,5,9,2,0
4,4,1,7,2,5,0,3,1
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,5,2,7,6
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,5,2,0
0,4,1,7,4,5,7,3,1
4,4,1,7,2,5,2,3,6
4,4,1,7,2,5,0,3,1
4,4,1,7,2,5,0,3,6
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,0,3,1
1,4,2,7,7,5,5,1,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,7,3,0
1,4,4,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,7,2,0
0,4,1,7,4,5,0,3,1
1,4,4,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
0,4,1,7,5,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,1,0
0,4,1,7,4,5,9,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,9,2,0
1,4,4,7,6,5,5,2,0
1,4,2,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,7,3,0
1,4,2,7,6,5,6,2,0
1,5,2,7,7,5,5,0,0
1,4,4,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,5,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,5,2,0
0,4,1,7,4,5,0,3,1
1,4,2,7,6,5,5,2,0
1,4,2,7,7,5,5,0,0
4,4,1,7,2,5,2,7,6
0,4,2,7,6,5,6,2,0
4,4,1,7,2,5,2,7,6
4,4,1,7,4,5,0,3,1
4,4,1,7,4,5,0,3,1
1,4,4,7,6,5,5,2,0
0,4,1,7,4,5,7,3,0
1,4,2,7,7,5,5,2,0
1,4,4,7,6,5,5,2,0
4,4,1,7,4,5,0,3,1
1,4,4,7,6,5,5,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,7,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,1,0
0,4,1,7,4,5,9,2,0
0,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,5,7,3,6
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,5,0,3,6
1,4,4,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,5,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,0,3,1
0,4,1,7,5,5,9,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,4,5,0,3,1
0,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,2,5,0,3,6
1,4,4,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,0,3,1
4,4,1,7,2,5,0,3,1
0,4,1,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,5,0,3,6
1,4,4,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
4,4,1,7,2,5,0,3,6
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,7,3,1
0,4,1,7,6,5,9,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,7,3,0
1,4,2,7,7,5,5,0,0
4,4,1,7,2,5,0,3,1
1,4,2,7,7,5,5,0,0
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,2,7,6,5,6,2,0
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
1,4,4,7,6,5,5,2,0
1,4,4,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,0,3,1
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,6,2,0
4,4,1,7,4,5,0,3,1
4,4,1,7,2,3,2,7,6
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,3,0
1,4,4,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,5,2,0
1,4,2,7,6,5,5,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
1,4,2,7,7,5,5,2,0
1,4,4,7,6,5,5,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,0,3,1
4,4,1,7,2,5,0,3,6
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,2,0
4,4,1,7,4,5,0,3,1
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,5,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,6,2,0
1,4,4,7,6,5,5,2,0
1,4,2,7,7,5,5,0,0
4,4,1,7,2,5,2,7,6
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
0,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,2,0
1,4,2,7,6,5,5,2,0
0,4,2,7,6,5,6,2,0
0,4,1,7,4,5,0,3,1
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
4,4,1,7,2,5,0,3,6
0,4,1,7,4,5,7,3,0
1,4,2,7,6,5,5,2,0
0,4,1,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,2,5,0,3,6
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,0,3,1
1,4,2,7,6,5,5,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,0,3,1
1,4,2,7,6,5,5,2,0
0,4,1,7,4,5,9,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,5,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,0
1,4,4,7,6,5,6,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,0,3,1
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
1,4,2,7,7,5,5,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,3,0
1,4,4,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,0,3,1
4,4,1,7,2,5,2,7,6
4,4,1,7,2,5,0,3,1
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
1,4,4,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,1
0,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,6,2,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,9,2,0
1,4,4,7,6,5,5,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,7,5,5,1,0
0,4,1,7,4,5,9,2,0
4,4,1,7,2,5,2,7,6
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,1,0
0,4,1,7,4,5,7,3,0
0,4,2,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,3,2,7,6
1,4,4,7,6,5,5,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,7,5,5,2,0
4,4,1,7,2,3,2,7,6
4,4,1,7,4,5,0,3,1
1,4,2,7,7,5,5,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,9,2,0
4,4,1,7,2,5,2,7,6
0,4,2,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,6,5,9,2,0
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,7,3,1
1,4,2,7,6,5,6,2,0
0,4,1,7,5,5,9,2,0
1,4,2,7,6,5,6,2,0
1,4,2,7,6,5,6,2,0
1,4,4,7,6,5,5,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,7,3,1
1,4,2,7,7,5,5,0,0
1,4,4,7,6,5,6,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,6,2,0
1,4,2,7,7,5,5,1,0
0,4,1,7,6,5,9,2,0
1,4,4,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,7,3,1
0,4,1,7,4,5,0,3,1
0,4,2,7,6,5,6,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,4,5,0,3,1
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,6,5,9,2,0
4,4,1,7,2,5,0,3,6
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,6,2,0
0,4,2,7,6,5,6,2,0
1,4,4,7,6,5,6,2,0
0,4,1,7,4,5,0,3,0
4,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,9,2,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
4,4,1,7,2,5,2,3,6
0,4,1,7,4,5,7,3,0
4,4,1,7,2,5,0,3,1
0,4,1,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,6,5,5,2,0
1,4,4,7,6,5,5,2,0
0,4,1,7,4,5,7,3,0
1,4,4,7,6,5,6,2,0
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,6,2,0
4,4,1,7,2,5,2,3,6
1,4,2,7,7,5,5,2,0
1,4,4,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
0,4,1,7,6,5,9,2,0
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
4,4,1,7,4,5,0,3,1
1,4,2,7,7,5,5,0,0
0,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,1,0
4,4,1,7,4,5,0,3,1
4,4,1,7,4,5,0,3,1
1,4,4,7,6,5,6,2,0
4,4,1,7,2,5,2,3,6
0,4,1,7,4,5,0,3,1
0,4,1,7,6,5,9,2,0
0,4,2,7,6,5,6,2,0
4,4,1,7,2,3,2,7,6
0,4,1,7,4,5,9,2,0
1,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,1,0
0,4,1,7,6,5,9,2,0
0,4,1,7,4,5,7,3,0
4,4,1,7,4,5,0,3,1
1,4,2,7,6,5,5,2,0
0,4,1,7,6,5,9,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,9,2,0
0,4,1,7,4,5,0,3,1
0,4,1,7,4,5,7,2,0
1,4,2,7,7,5,5,0,0
1,4,2,7,7,5,5,0,0
0,4,1,7,4,5,7,2,0
0,4,1,7,4,5,7,2,0
0,4,1,7,4,5,7,3,0
0,4,1,7,4,5,0,3,1
0,4,2,7,6,5,6,2,0
1,4,2,7,7,5,5,0,0
